Country,Region/Zone,lon,lat,Type of Disease,Target Disease,,Year(s),Doi,
Algeria,Algeria 1.2.1,2.551104073,36.58545795,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,2.439517337,36.571672,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,2.336514197,36.58545795,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,2.233511056,36.60613226,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,2.130507915,36.571672,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,2.113340725,36.5578836,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,2.061839155,36.55098847,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,1.976003204,36.55098847,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,1.735662543,36.5578836,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,1.701328162,36.5578836,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,1.572574236,36.5234018,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,1.546823451,36.5165036,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,1.418069525,36.50960478,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,1.383735145,36.4958053,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,1.30648279,36.4958053,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,1.186312459,36.4958053,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
Algeria,Algeria 1.2.1,1.083309318,36.4958053,Leishmania infantum,Cutaneous leishmaniasis,polygon data,1980-2013,,
