Country,Region/Zone,lon,lat,Type of Disease,Target Disease condition,Digitization style,Year(s),Doi/comment,
Libya,Libya,22.81591147,31.75243112,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,21.91963168,31.58947116,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,21.02335189,31.34503122,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,21.26779183,30.61171139,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,21.43075179,30.28579147,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,20.534472,29.55247164,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,19.39375227,29.63395162,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,18.98635237,29.14507173,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,19.71967219,28.41175191,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,18.90487239,27.67843208,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,17.76415265,28.16731196,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,17.1123128,29.63395162,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,17.1123128,30.53023141,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,16.13455303,29.3080317,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,15.27901323,31.54873117,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,15.68641314,30.93763131,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,14.70865337,30.20431149,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,14.73920836,31.47743619,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,14.59661839,31.4468812,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,13.95496354,31.53854617,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,13.6901536,31.30429123,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,13.94477855,30.90707632,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,13.75126359,30.24505148,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,13.40497367,30.63208139,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,12.94664878,30.93763131,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,12.46795389,31.22281125,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,11.77537405,31.53854617,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,12.99757377,32.75056089,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,13.2929387,32.79130088,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,13.84292857,32.65889591,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,13.3031237,32.60797092,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,13.09942374,32.52649094,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,12.4272139,32.60797092,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,12.04018399,32.85241087,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,11.78555905,32.97463084,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
Libya,Libya,11.76518905,32.60797092,Leishmania major,Cutaneous leishmaniasis,point data,1980-2013,,
